Unnamed: 0,Type,Name,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,ColorName_x,ColorName_y,ColorName,BreedName_x,BreedName_y,StateName_x
1000,2,Jane Doe,2,2.0,1.0,1,2,2,2,1,1,0,41401,e5a05c5a799f1ccc3bbb6bc025432ac6,0,"Salam Petlover Again, another round of beautiful stray female kitty Jane Doe found wondering near lrt. Was found by a friend and now being taken care Indah area. Healthy, a bit defensive..but after a while shes very manja. She is available for adoption, kalau ada yg sudi, bolehlah call  ye. Terima Kasih",f32959003,3.0,1,Black,Yellow,White,Domestic Short Hair,Domestic Short Hair,Kuala Lumpur
1232,2,,0,1.0,2.0,2,1,1,1,1,1,10,41336,e1b4eb6fb9e68e550fa9020bcd2f2372,0,cute,108da3f0d,0.0,4,Black,Gray,White,Birman,Snowshoe,Johor
347,2,"Dawn,Olly,Duke,Afro & Era Aka Juu",2,3.0,2.0,1,2,2,2,1,5,0,41326,477c59dc4474b2f5abfceef5bd8146f6,0,"Thank you to all the kind souls who have give Dawn, Olly, Duke and Juu new homes. :) These are my cat Rhea's babies born on the /. They have Greek names : Afro (from Aphrodite), Era (from Hera), Dawn (from Poseidon), Olly (from Olympia) and Duke, he's not so into Greek mythology and wants a 21st Century name. They have a good appetite,very playful and quiet, ideal for indoor cat owners. On solid food and litter trained. The kittens have been kept indoors but freely roams the house. If you take them home, please do not cage them. It burdens me to give them up for adoption, I hope they'll find a home in your hearts and a family to love and pamper them. Kindly sms me if you are interested. SMS ONLY. Thank you.",d9fe690c2,10.0,1,Black,Cream,White,Domestic Short Hair,Domestic Medium Hair,Selangor
838,2,Lemonade,27,2.0,2.0,2,2,2,1,1,1,0,41401,651fa76749d5d4604276f49ab4248683,0,happy,9c178d0f4,4.0,4,Golden,Yellow,Cream,,,Kuala Lumpur
1089,1,Sabee,64,2.0,2.0,2,2,1,2,1,1,0,41401,24f239cdc75b79211d9343020396b521,0,"Sabee is a very active doggie. She used to stay indoor and having dog food. Every 3 to 6 month will attend for grooming. She is medium size and about 10KG. Don't ever think that she is mini size or toy dog. She is very sensitive to door bell, when owner and family come back, she will keep on barking. She like to play the toy ball very much and it would be the only toy she have. She afraid of thunder storm and fire cracker very much. She will looking for some place to hide like under the bed or table. She prefer chinese family. She need a very caring and lovely owner, would you be that for her?",b2b9c5176,3.0,3,Black,Brown,White,Mixed Breed,Poodle,Kuala Lumpur
78,1,Shadow,31,2.0,2.0,2,1,1,1,1,1,0,41326,7ba6596d2675824b5f670b4eb4732b41,0,The dog is well behaved. Slightly playful and has gone for dog training. You can also contact Yash at as she currently owns the dog.,84c1afe03,2.0,4,Black,Brown,Cream,German Shepherd Dog,Terrier,Selangor
911,2,Lil Miss Stevie And Her 2 Babies,1,2.0,2.0,1,3,3,2,1,3,0,41401,3e67677450cdcb34c08b345ccc6889ff,0,"Lil Miss Stevie is a young mum to 2 beautiful kitties who are only a month old. Both kittens are female, one is a spitting image of her mum with a black and white coat and the other is of white and grey (she has a perfect circle of grey on her back!). We found them hiding in a bush outside of our condo and are looking to find them a loving home. We would love to keep them ourselves as Stevie is so affectionate but unfortunately she is not too fond of our puppy. Please contact me if you would like to adopt this cute furry family of 3 girls.",7a7f8a828,3.0,1,Black,Gray,White,American Shorthair,Oriental Short Hair,Kuala Lumpur
250,1,Wynn,72,1.0,,3,1,1,1,1,1,200,41326,37c122a1f15a45ae8ea56b0872fd6419,0,"Wynn the Silky Tzu wandered into Ms. Lee's house on Christmas. He looked like he had not been groomed for months. Ms. Lee searched high and low for the owner but no one seemed to know about Wynn. Wynn is gentle, playful, and affectionate. He was passed to us to foster. He weighs 5.2kg (and now he weighs 5.8kg as of January 20). The vets said he's generally in good health. Tested for heartworm and results show negative. He's now on heartworm & tick prevention. We have just sent him for grooming and neutering. We charge an adoption fee of RM to cover for part of the vet fee + grooming charges. If you would like to adopt Wynn, please send us a message: describing the environment you are willing to provide him with and your experience with dogs. Please note that we strongly suggest 1-month trial where we will drop by to visit to see if Wynn is a good fit for your family. If it does not work out, Wynn must be returned to us. Please note that if you do not describe the environment you are willing to provide him with, we will not reply your email.",a8c19a325,9.0,2,Black,Gray,,Shih Tzu,Silky Terrier,Selangor
916,2,Baby Baby,1,3.0,1.0,2,2,2,2,1,5,0,41401,4e0df62357ee903a79d9a06139869b53,0,Please adopt them. I have so many already. Can't manage to take care. Please do contact me should you willing to help them. They are too cute.,fc948a166,1.0,1,Black,Gray,White,Domestic Medium Hair,Domestic Medium Hair,Kuala Lumpur
1060,1,Puppy Zorro,2,2.0,2.0,1,1,1,2,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,Puppy Zorro was rescued and then brought to the vet for health check up.. She has been vaccinated and deworm. Very bright little girl and playful but will make some noise when she is hungry,c1db71d88,7.0,2,Black,Brown,White,Mixed Breed,Mixed Breed,Kuala Lumpur
